tract,below_fpl,below_200fpl,fpl_universe,below_fpl_pct,below_200fpl_pct,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
06037120108,1127,1965,4505,25,43.6,District 3,Los Angeles - Panorama City,SPA 2 - San Fernando,7501,4153196.15625,8437.98289394272
06037120300,937,2409,5422,17.3,44.4,District 3,Los Angeles - Panorama City,SPA 2 - San Fernando,7502,18625291.3535156,18461.2612622082
06037120400,886,2017,5664,15.6,35.6,District 3,Los Angeles - Panorama City,SPA 2 - San Fernando,7503,11342990.4765625,17252.7318832221
06037121010,426,1687,5166,8.2,32.7,District 3,Los Angeles - Sun Valley,SPA 2 - San Fernando,7504,21938724.671875,19439.9494676312
06037121020,386,1343,3433,11.2,39.1,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,7505,8862824.78417969,13123.5941471133
06037121101,388,1069,3345,11.6,32,District 5,Los Angeles - Sun Valley,SPA 2 - San Fernando,7506,5017307.97949219,10718.7901865933
06037121102,133,746,2245,5.9,33.2,District 5,Los Angeles - Sun Valley,SPA 2 - San Fernando,7507,81202249.6660156,37430.5187178532
06037121210,278,1073,3016,9.2,35.6,District 3,Los Angeles - Sun Valley,SPA 2 - San Fernando,7508,21747744.5908203,18363.6100051393
06037121221,188,386,2030,9.3,19,District 3,Los Angeles - Sun Valley,SPA 2 - San Fernando,7509,5368645.64160156,11031.146326153
06037121222,729,1697,4928,14.8,34.4,District 3,Los Angeles - Sun Valley,SPA 2 - San Fernando,7510,14360591.9746094,18205.7288325714
06037121600,443,883,2595,17.1,34,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,7511,12226265.6533203,16319.3464513318
06037121801,466,2096,4266,10.9,49.1,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,7512,5227906.45019531,10560.2130508561
06037121802,592,1441,3157,18.8,45.6,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,7513,10313355.2363281,14870.6940835396
06037121900,398,1071,3324,12,32.2,District 3,Los Angeles - Sun Valley,SPA 2 - San Fernando,7514,18151567.5419922,20085.6741084267
06037122000,565,1174,5326,10.6,22,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,7515,35127759.9345703,30433.9930769397
06037122120,624,1485,4354,14.3,34.1,District 3,Los Angeles - Sun Valley,SPA 2 - San Fernando,7516,7747526.69824219,13223.7253331005
06037122121,761,1353,2715,28,49.8,District 3,Los Angeles - Sun Valley,SPA 2 - San Fernando,7517,4433690.19335938,11866.0072105158
06037122122,753,1744,2562,29.4,68.1,District 3,Los Angeles - Sun Valley,SPA 2 - San Fernando,7518,11169110.2080078,15319.4321170358
06037122200,395,1338,3623,10.9,36.9,District 5,Los Angeles - Sun Valley,SPA 2 - San Fernando,7519,18360451.8066406,19414.8134591679
06037122410,768,1301,3957,19.4,32.9,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,7520,7614170.00878906,11116.6767570807
06037122420,873,2339,5293,16.5,44.2,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,7521,9284627.34765625,12386.8026293559
06037123010,1034,2262,3791,27.3,59.7,District 3,Los Angeles - Sun Valley,SPA 2 - San Fernando,7522,10934072.2714844,13636.3926211672
06037123020,214,745,2793,7.7,26.7,District 3,Los Angeles - Sun Valley,SPA 2 - San Fernando,7523,6044749.9375,9824.42748679698
06037123103,414,816,3893,10.6,21,District 5,Los Angeles - North Hollywood,SPA 2 - San Fernando,7524,9700340.046875,13343.6271318178
06037123104,1159,1868,4633,25,40.3,District 5,Los Angeles - North Hollywood,SPA 2 - San Fernando,7525,8398918.35742188,11502.4211608533
06037123203,761,1802,2926,26,61.6,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,7526,6324973.65136719,12755.8725288864
06037123204,804,1349,3316,24.2,40.7,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,7527,3489441.03222656,7926.03436282145
06037123205,968,1658,2795,34.6,59.3,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,7528,8155803.26855469,11532.5866906348
