tract,below_fpl,below_200fpl,fpl_universe,below_fpl_pct,below_200fpl_pct,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
06037181600,122,353,2624,4.6,13.5,District 1,Los Angeles - Eagle Rock,SPA 4 - Metro,7732,13360638.1923828,17197.1239041622
06037183101,498,761,2962,16.8,25.7,District 1,Los Angeles - Highland Park,SPA 4 - Metro,7733,10607809.5810547,16423.5444780478
06037183103,381,1353,4370,8.7,31,District 1,Los Angeles - Highland Park,SPA 4 - Metro,7734,7244202.95703125,19003.0601467211
06037183104,204,506,1929,10.6,26.2,District 1,Los Angeles - Highland Park,SPA 4 - Metro,7735,6726843.80664063,15127.0349605752
06037183220,193,720,2845,6.8,25.3,District 1,Los Angeles - Highland Park,SPA 4 - Metro,7736,5876242.41503906,12529.5624789228
06037183221,326,961,3147,10.4,30.5,District 1,Los Angeles - Eagle Rock,SPA 4 - Metro,7737,7556623.37792969,11919.9197292741
06037183222,383,753,3444,11.1,21.9,District 1,Los Angeles - Eagle Rock,SPA 4 - Metro,7738,9910024.88671875,16262.5267399764
06037183300,249,926,3128,8,29.6,District 1,Los Angeles - Eagle Rock,SPA 4 - Metro,7739,5867829.60449219,10063.0020623412
06037183401,315,545,2566,12.3,21.2,District 1,Los Angeles - Eagle Rock,SPA 4 - Metro,7740,5344581.56738281,10175.2714040807
06037183402,352,656,3064,11.5,21.4,District 1,Los Angeles - Eagle Rock,SPA 4 - Metro,7741,5662655.35644531,10718.8176367185
06037183510,140,309,2430,5.8,12.7,District 1,Los Angeles - Highland Park,SPA 4 - Metro,7742,5247216.66015625,10222.897935622
06037183520,479,1364,3430,14,39.8,District 1,Los Angeles - Highland Park,SPA 4 - Metro,7743,4701674.38867188,9080.12718892787
06037183610,490,1029,2823,17.4,36.5,District 1,Los Angeles - Highland Park,SPA 4 - Metro,7744,4014651.39550781,9658.44906193657
06037183620,392,854,3062,12.8,27.9,District 1,Los Angeles - Highland Park,SPA 4 - Metro,7745,5605125.84863281,9297.16509945743
06037183701,490,1349,3445,14.2,39.2,District 1,Los Angeles - Highland Park,SPA 4 - Metro,7746,5759863.95507813,12281.678369332
06037183702,123,638,2991,4.1,21.3,District 1,Los Angeles - Highland Park,SPA 4 - Metro,7747,9524021.35449219,16581.6977553201
06037183810,869,1574,4139,21,38,District 1,Los Angeles - Highland Park,SPA 4 - Metro,7748,4841193.90429688,10223.5575324237
06037183820,308,858,3561,8.6,24.1,District 1,Los Angeles - Highland Park,SPA 4 - Metro,7749,3348964.75683594,10238.052525608
06037185101,68,443,2355,2.9,18.8,District 1,Los Angeles - Mt. Washington,SPA 4 - Metro,7750,8706618.6171875,16955.1758641551
06037185102,306,460,3503,8.7,13.1,District 1,Los Angeles - Mt. Washington,SPA 4 - Metro,7751,15935927.7666016,25632.9478986605
06037185202,280,858,4099,6.8,20.9,District 1,Los Angeles - Mt. Washington,SPA 4 - Metro,7752,13003386.1484375,16277.4176158213
06037185203,329,941,2497,13.2,37.7,District 1,Los Angeles - Mt. Washington,SPA 4 - Metro,7753,5849916.3125,11295.9241067246
06037185204,286,566,1888,15.1,30,District 1,Los Angeles - Mt. Washington,SPA 4 - Metro,7754,10302996.2949219,15511.2676608014
06037185310,574,876,2864,20,30.6,District 1,Los Angeles - Mt. Washington,SPA 4 - Metro,7755,4461664.13867188,11883.4618369471
06037185320,660,1088,2843,23.2,38.3,District 1,Los Angeles - Elysian Valley,SPA 4 - Metro,7756,6087527.24902344,12706.7796331792
06037186100,227,650,4631,4.9,14,District 1,Los Angeles - Glassell Park,SPA 4 - Metro,7757,14122828.8632813,20374.1402029871
06037186201,386,790,3342,11.5,23.6,District 1,Los Angeles - Glassell Park,SPA 4 - Metro,7758,5351125.63867188,11939.7884138324
06037186202,255,292,1808,14.1,16.2,District 1,Los Angeles - Glassell Park,SPA 4 - Metro,7759,4556332.90332031,10534.9440301859
06037186203,240,515,2753,8.7,18.7,District 1,Los Angeles - Glassell Park,SPA 4 - Metro,7760,9091855.96386719,15362.2422444835
06037186301,532,1068,2675,19.9,39.9,District 1,Los Angeles - Glassell Park,SPA 4 - Metro,7761,12733089.0224609,17741.0328826999
06037186302,308,953,4719,6.5,20.2,District 1,Los Angeles - Glassell Park,SPA 4 - Metro,7762,18285481.2539063,17522.4869268287
06037186401,652,1534,2948,22.1,52,District 1,Los Angeles - Glassell Park,SPA 4 - Metro,7763,10153015.2011719,17566.2362464373
06037186403,228,500,2524,9,19.8,District 1,Los Angeles - Glassell Park,SPA 4 - Metro,7764,5905691.16308594,11856.9365900637
06037186404,649,1025,2528,25.7,40.5,District 1,Los Angeles - Glassell Park,SPA 4 - Metro,7765,4284252.16699219,8709.72383418129
06037187101,181,646,3086,5.9,20.9,District 1,Los Angeles - Atwater Village,SPA 4 - Metro,7766,8510001.00878906,12901.7977755606
06037187102,917,1664,4494,20.4,37,District 1,Los Angeles - Atwater Village,SPA 4 - Metro,7767,23601872.3945313,38158.3867763569
06037187200,259,787,2908,8.9,27.1,District 1,Los Angeles - Silverlake,SPA 4 - Metro,7768,10210252.3798828,15467.5780244726
06037187300,296,630,3820,7.7,16.5,District 1,Los Angeles - Silverlake,SPA 4 - Metro,7769,12573329.3261719,19425.3950009604
06037188100,555,1413,3735,14.9,37.8,District 1,Los Angeles - Atwater Village,SPA 4 - Metro,7770,22650892.640625,25920.701604253
06037188201,363,624,2834,12.8,22,District 5,Los Angeles - Los Feliz,SPA 4 - Metro,7771,8583742.65429688,16919.4880772849
06037188202,199,604,3043,6.5,19.8,District 5,Los Angeles - Los Feliz,SPA 4 - Metro,7772,8230132.95410156,11771.5390102855
06037188300,175,429,3227,5.4,13.3,District 1,Los Angeles - Atwater Village,SPA 4 - Metro,7773,9856462.60546875,12658.9739774197
06037189101,189,442,2461,7.7,18,District 5,Los Angeles - Los Feliz,SPA 4 - Metro,7774,4253805.29296875,8256.53598815412
06037189102,267,642,3797,7,16.9,District 5,Los Angeles - Los Feliz,SPA 4 - Metro,7775,6905576.16210938,12037.6426847835
06037189201,466,979,2779,16.8,35.2,District 5,Los Angeles - Los Feliz,SPA 4 - Metro,7776,3506033.15136719,7950.82396758761
06037189202,172,259,3155,5.5,8.2,District 5,Los Angeles - Los Feliz,SPA 4 - Metro,7777,11036873.8701172,16286.490262929
06037189300,353,489,2737,12.9,17.9,District 5,Los Angeles - Los Feliz,SPA 4 - Metro,7778,20565714.2177734,24814.6632437895
06037189400,294,420,3009,9.8,14,District 5,Los Angeles - Hollywood Hills,SPA 4 - Metro,7779,15507607.5380859,23706.4366035626
06037189501,255,397,2214,11.5,17.9,District 5,Los Angeles - Hollywood Hills,SPA 4 - Metro,7780,3813790.65332031,8060.13387485457
06037189502,402,718,1842,21.8,39,District 5,Los Angeles - Hollywood Hills,SPA 4 - Metro,7781,2663667.32617188,6911.33444770859
06037189600,336,605,3658,9.2,16.5,District 5,Los Angeles - Hollywood Hills,SPA 4 - Metro,7782,11513193.6728516,18537.8665848203
06037189702,206,466,2382,8.6,19.6,District 5,Los Angeles - Hollywood Hills,SPA 4 - Metro,7783,15623394.3701172,21310.4422758017
06037189703,148,275,1993,7.4,13.8,District 5,Los Angeles - Hollywood Hills,SPA 4 - Metro,7784,35757590.5947266,39992.7994355027
06037189704,288,310,2099,13.7,14.8,District 5,Los Angeles - Hollywood Hills,SPA 4 - Metro,7785,11045948.9814453,22924.2420237803
06037189801,129,411,2192,5.9,18.8,District 3,Los Angeles - Hollywood,SPA 4 - Metro,7786,4463763.62402344,9921.86129698297
06037189802,283,316,1979,14.3,16,District 3,Los Angeles - Hollywood,SPA 4 - Metro,7787,3406698.64941406,7860.66123616276
06037189903,149,368,2191,6.8,16.8,District 3,Los Angeles - Hollywood,SPA 4 - Metro,7788,911068.451171875,4147.04329562706
06037189904,536,1114,2428,22.1,45.9,District 3,Los Angeles - Hollywood,SPA 4 - Metro,7789,1717995.09667969,5282.07807479376
06037189905,347,584,2406,14.4,24.3,District 3,Los Angeles - Hollywood,SPA 4 - Metro,7790,2781471.50878906,6976.50492834329
06037189906,310,617,2491,12.4,24.8,District 3,Los Angeles - Hollywood,SPA 4 - Metro,7791,2180620.13964844,5943.03265162089
06037189907,176,329,2543,6.9,12.9,District 3,Los Angeles - Hollywood,SPA 4 - Metro,7792,1746419.55078125,5286.48412911842
06037190101,495,658,1597,31,41.2,District 3,Los Angeles - Hollywood,SPA 4 - Metro,7793,2408287.25488281,6809.25485633835
06037190102,286,681,2208,13,30.8,District 3,Los Angeles - Hollywood,SPA 4 - Metro,7794,4050079.62207031,8766.03716992767
06037190201,430,1617,3234,13.3,50,District 3,Los Angeles - Hollywood,SPA 4 - Metro,7795,2414905.83105469,6702.51179208396
06037190202,643,1068,2720,23.6,39.3,District 3,Los Angeles - Hollywood,SPA 4 - Metro,7796,2268330.93457031,6272.84741623454
06037190302,383,955,2708,14.1,35.3,District 3,Los Angeles - Hollywood,SPA 4 - Metro,7797,2672677.89941406,9399.59072551885
06037190303,575,1069,2496,23,42.8,District 3,Los Angeles - Hollywood,SPA 4 - Metro,7798,1758851.83789063,5299.09654852019
06037190401,275,894,2738,10,32.7,District 1,Los Angeles - Thai Town,SPA 4 - Metro,7799,1794718.61816406,5352.38817033191
06037190402,410,876,2407,17,36.4,District 1,Los Angeles - Thai Town,SPA 4 - Metro,7800,1703419.56347656,5220.96261510701
06037190510,1204,1990,3846,31.3,51.7,District 3,Los Angeles - Hollywood,SPA 4 - Metro,7801,3431162.77050781,7980.93592233618
06037190520,760,1560,3462,22,45.1,District 1,Los Angeles - Thai Town,SPA 4 - Metro,7802,2623817.31445313,6611.94612530689
06037190701,468,913,1643,28.5,55.6,District 3,Los Angeles - Hollywood,SPA 4 - Metro,7803,4762913.41113281,9891.61191663942
06037190702,140,468,1412,9.9,33.1,District 3,Los Angeles - Hollywood,SPA 4 - Metro,7804,2152980.21386719,5909.32801742839
06037190801,784,1540,2826,27.7,54.5,District 3,Los Angeles - Hollywood,SPA 4 - Metro,7805,3489354.94042969,7925.32931084361
06037190802,603,1190,2922,20.6,40.7,District 3,Los Angeles - Hollywood,SPA 4 - Metro,7806,5239434.93945313,9249.69849293618
06037190901,1015,2000,3389,29.9,59,District 3,Los Angeles - Hollywood,SPA 4 - Metro,7807,5276728.265625,9290.81510103297
06037190902,638,1406,3897,16.4,36.1,District 3,Los Angeles - Hollywood,SPA 4 - Metro,7808,5241444.29882813,9257.05234902937
06037191000,677,1291,5335,12.7,24.2,District 3,Los Angeles - Hollywood,SPA 4 - Metro,7809,6889316.93359375,11150.28819568
06037191110,1497,2088,3585,41.8,58.2,District 1,Los Angeles - Little Armenia,SPA 4 - Metro,7810,2935781.97851563,7507.32215882193
06037191120,599,1662,3553,16.9,46.8,District 1,Los Angeles - Little Armenia,SPA 4 - Metro,7811,4086207.50878906,8373.02858213676
06037191201,1416,3177,5521,25.6,57.5,District 1,Los Angeles - East Hollywood,SPA 4 - Metro,7812,6159856.79882813,9951.80338909835
06037191203,699,926,2010,34.8,46.1,District 1,Los Angeles - East Hollywood,SPA 4 - Metro,7813,2208647.5390625,5985.14627750103
06037191204,304,548,1522,20,36,District 1,Los Angeles - East Hollywood,SPA 4 - Metro,7814,2164440.77539063,5918.99444129793
06037191301,408,814,2077,19.6,39.2,District 1,Los Angeles - East Hollywood,SPA 4 - Metro,7815,2943320.98339844,8516.89445111354
06037191302,215,849,1754,12.3,48.4,District 1,Los Angeles - East Hollywood,SPA 4 - Metro,7816,4550186.10351563,9354.95661238365
06037191410,887,1204,3231,27.5,37.3,District 1,Los Angeles - East Hollywood,SPA 4 - Metro,7817,3351834.15234375,7438.6150265572
06037191420,380,950,3065,12.4,31,District 1,Los Angeles - East Hollywood,SPA 4 - Metro,7818,2445342.20410156,6614.97247930672
06037191500,1194,2320,5489,21.8,42.3,District 1,Los Angeles - East Hollywood,SPA 4 - Metro,7819,6905191.90722656,10328.4168274089
06037191610,782,1720,3653,21.4,47.1,District 3,Los Angeles - Melrose,SPA 4 - Metro,7820,4516467.59765625,9408.29629745517
06037191620,653,1163,2627,24.9,44.3,District 3,Los Angeles - Melrose,SPA 4 - Metro,7821,2445220.92773438,7017.16805516893
06037191710,777,1566,2569,30.2,61,District 3,Los Angeles - Melrose,SPA 4 - Metro,7822,7627194.53222656,13209.0271539169
06037191720,529,1606,3390,15.6,47.4,District 3,Los Angeles - Melrose,SPA 4 - Metro,7823,2845306.47460938,6946.31635217938
06037191810,288,974,2780,10.4,35,District 3,Los Angeles - Melrose,SPA 4 - Metro,7824,4350630.71386719,9234.49778669924
06037191820,491,1288,3777,13,34.1,District 3,Los Angeles - Melrose,SPA 4 - Metro,7825,4356997.03320313,9240.09924467207
06037191901,848,1722,4307,19.7,40,District 3,Los Angeles - Melrose,SPA 4 - Metro,7826,8323634.66601563,11867.3191738972
06037191902,370,636,2813,13.2,22.6,District 3,Los Angeles - Melrose,SPA 4 - Metro,7827,7818740.74804688,11569.2077486017
06037192001,366,547,1998,18.3,27.4,District 3,Los Angeles - Melrose,SPA 4 - Metro,7828,5713216.98535156,11592.7150747835
06037192002,228,605,2598,8.8,23.3,District 3,Los Angeles - Melrose,SPA 4 - Metro,7829,9235858.8984375,12792.9610100331
06037192300,323,709,2640,12.2,26.9,District 3,Los Angeles - Melrose,SPA 4 - Metro,7830,9456509.24609375,12470.6222718884
06037192410,274,683,4285,6.4,15.9,District 3,Los Angeles - Melrose,SPA 4 - Metro,7831,7360628.90332031,10853.9342635728
06037192420,544,1250,3360,16.2,37.2,District 3,Los Angeles - Melrose,SPA 4 - Metro,7832,3494301.18652344,7935.38408717253
06037192510,745,1645,3915,19,42,District 3,Los Angeles - Melrose,SPA 4 - Metro,7833,3676220.51953125,8083.48715376274
06037192520,1047,2244,4884,21.4,45.9,District 3,Los Angeles - Melrose,SPA 4 - Metro,7834,3307689.50976563,7772.45726721452
06037192610,1065,2105,4103,26,51.3,District 3,Los Angeles - Melrose,SPA 4 - Metro,7835,4469637.64257813,9148.6312100503
06037192620,917,1929,3362,27.3,57.4,District 3,Los Angeles - Melrose,SPA 4 - Metro,7836,2621282.09375,7268.93330579608
06037192700,579,1320,3065,18.9,43.1,District 1,Los Angeles - Silverlake,SPA 4 - Metro,7837,5724862.03808594,9589.41664007764
06037194101,276,764,3273,8.4,23.3,District 3,Los Angeles - Hollywood Hills,SPA 4 - Metro,7838,27180830.0302734,31075.056259464
06037194102,240,428,2504,9.6,17.1,District 3,Los Angeles - Hollywood Hills,SPA 4 - Metro,7839,37645454.3935547,34914.6975216466
06037194200,68,215,3311,2.1,6.5,District 3,Los Angeles - Hollywood,SPA 4 - Metro,7840,28373047.3769531,25984.2625017395
06037194300,225,435,2887,7.8,15.1,District 3,Los Angeles - Hollywood,SPA 4 - Metro,7841,26227895.5878906,30785.9729366871
06037194401,239,590,2457,9.7,24,District 3,Los Angeles - Melrose,SPA 4 - Metro,7842,5154787.68554688,9246.95061213032
06037194402,326,642,3071,10.6,20.9,District 3,Los Angeles - Melrose,SPA 4 - Metro,7843,6337662.8046875,14182.4584943801
06037194500,136,248,2049,6.6,12.1,District 3,Los Angeles - Melrose,SPA 4 - Metro,7844,7266523.67089844,14479.9036682826
06037195100,256,407,4761,5.4,8.5,District 1,Los Angeles - Silverlake,SPA 4 - Metro,7845,20453803.8935547,21319.0332667418
06037195201,279,445,2813,9.9,15.8,District 1,Los Angeles - Silverlake,SPA 4 - Metro,7846,6368770.9765625,13708.0969249358
06037195202,220,340,3349,6.6,10.2,District 1,Los Angeles - Silverlake,SPA 4 - Metro,7847,9353385.49023438,14469.5687740834
06037195300,429,793,2976,14.4,26.6,District 1,Los Angeles - Silverlake,SPA 4 - Metro,7848,6250975.54980469,11070.1404169305
06037195400,365,706,4343,8.4,16.3,District 1,Los Angeles - Silverlake,SPA 4 - Metro,7849,10992588.2128906,16204.9071041664
06037195500,338,536,5118,6.6,10.5,District 1,Los Angeles - Silverlake,SPA 4 - Metro,7850,13164198.8955078,19218.2547019146
06037195600,650,1003,2795,23.3,35.9,District 1,Los Angeles - Silverlake,SPA 4 - Metro,7851,5712584.26660156,10997.1668435977
06037195710,1276,2278,4127,30.9,55.2,District 1,Los Angeles - Temple-Beaudry,SPA 4 - Metro,7852,5192040.2109375,9745.73002935062
06037195720,211,518,1694,12.5,30.6,District 1,Los Angeles - Temple-Beaudry,SPA 4 - Metro,7853,3067002.27832031,8340.76819847616
06037195802,429,964,2859,15,33.7,District 1,Los Angeles - Temple-Beaudry,SPA 4 - Metro,7854,4341880.86816406,9929.55136732063
06037195803,294,732,2328,12.6,31.4,District 1,Los Angeles - Temple-Beaudry,SPA 4 - Metro,7855,4074198.9453125,9002.27708221042
06037195804,269,726,2555,10.5,28.4,District 1,Los Angeles - Temple-Beaudry,SPA 4 - Metro,7856,3621379.55175781,7702.84518626474
06037195901,383,881,2513,15.2,35.1,District 1,Los Angeles - Silverlake,SPA 4 - Metro,7857,3167895.59570313,7993.58899201499
06037195902,84,161,1847,4.5,8.7,District 1,Los Angeles - Silverlake,SPA 4 - Metro,7858,3659790.43359375,8148.34834952092
06037195903,240,503,1970,12.2,25.5,District 1,Los Angeles - Silverlake,SPA 4 - Metro,7859,2560973.89257813,6617.76651066463
06037197200,160,674,3620,4.4,18.6,District 1,Los Angeles - Elysian Valley,SPA 4 - Metro,7860,8254417.31835938,14769.068053788
06037197300,211,734,3734,5.7,19.7,District 1,Los Angeles - Echo Park,SPA 4 - Metro,7861,6852261.59375,14683.6849782013
06037197410,239,705,3805,6.3,18.5,District 1,Los Angeles - Elysian Valley,SPA 4 - Metro,7862,14961791.1240234,17855.0597281323
06037197420,320,1138,3486,9.2,32.6,District 1,Los Angeles - Echo Park,SPA 4 - Metro,7863,6662696.07519531,11589.3568197097
06037197500,670,1168,3991,16.8,29.3,District 1,Los Angeles - Echo Park,SPA 4 - Metro,7864,6903041.97949219,10403.773061345
06037197600,614,775,2080,29.5,37.3,District 1,Los Angeles - Angelino Heights,SPA 4 - Metro,7865,4213783.37988281,10380.0647416811
06037197700,800,2403,4770,16.8,50.4,District 1,Los Angeles - Elysian Park,SPA 4 - Metro,7866,7539991.2578125,13637.8633149667
06037199001,564,1401,2307,24.4,60.7,District 1,Los Angeles - Lincoln Heights,SPA 4 - Metro,7867,2823832.10449219,7991.60285962026
06037199002,397,1118,2866,13.9,39,District 1,Los Angeles - Lincoln Heights,SPA 4 - Metro,7868,14153143.5458984,20590.5737872954
06037199110,356,793,2369,15,33.5,District 1,Los Angeles - Lincoln Heights,SPA 4 - Metro,7869,9922886.95800781,13487.6898593241
06037199120,1133,1921,3375,33.6,56.9,District 1,Los Angeles - Lincoln Heights,SPA 4 - Metro,7870,10366630.6777344,16430.6435299578
06037199201,826,1343,3592,23,37.4,District 1,Los Angeles - Lincoln Heights,SPA 4 - Metro,7871,4272810.89550781,8743.52630982821
06037199202,367,790,2443,15,32.3,District 1,Los Angeles - Lincoln Heights,SPA 4 - Metro,7872,10262323.0644531,17337.6262268547
06037199300,452,869,3808,11.9,22.8,District 1,Los Angeles - Lincoln Heights,SPA 4 - Metro,7873,27667373.4824219,30528.9905727365
06037199400,1332,2311,4373,30.5,52.8,District 1,Los Angeles - Mt. Washington,SPA 4 - Metro,7874,7705435.54785156,16525.8930799187
06037199700,525,1419,2914,18,48.7,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,7875,10410497.4599609,13808.4632410144
06037199801,666,1773,3837,17.4,46.2,District 1,Los Angeles - Lincoln Heights,SPA 4 - Metro,7876,3724106.85546875,9459.39182732337
06037199802,259,860,1975,13.1,43.5,District 1,Los Angeles - Lincoln Heights,SPA 4 - Metro,7877,3296128.60546875,8868.74422483614
06037199900,484,1100,2291,21.1,48,District 1,Los Angeles - Lincoln Heights,SPA 4 - Metro,7878,4782360.921875,10141.7280220526
06037201110,203,434,2279,8.9,19,District 1,Los Angeles - El Sereno,SPA 4 - Metro,7879,10992458.0566406,15893.3836362006
06037201120,521,992,3834,13.6,25.9,District 1,Los Angeles - El Sereno,SPA 4 - Metro,7880,8477293.32421875,13504.917770447
06037201200,319,796,2677,11.9,29.7,District 1,Los Angeles - El Sereno,SPA 4 - Metro,7881,4612278.71679688,10208.950520896
06037201301,508,1021,3261,15.6,31.3,District 1,Los Angeles - El Sereno,SPA 4 - Metro,7882,9414202.77929688,18595.3885423259
06037201302,280,680,4080,6.9,16.7,District 1,Los Angeles - Highland Park,SPA 4 - Metro,7883,10671943.7080078,14894.7665533712
06037201401,1182,2149,4162,28.4,51.6,District 1,Los Angeles - El Sereno,SPA 4 - Metro,7884,14162701.1103516,15449.7624668058
06037201402,565,1296,4073,13.9,31.8,District 1,Los Angeles - El Sereno,SPA 4 - Metro,7885,20831565.2158203,18870.5827674601
06037201501,710,1774,5415,13.1,32.8,District 1,Los Angeles - El Sereno,SPA 4 - Metro,7886,9520485.64257813,14185.0892357449
06037201503,263,1233,3096,8.5,39.8,District 1,Los Angeles - El Sereno,SPA 4 - Metro,7887,4712856.25097656,9121.14428043338
06037201504,277,712,2047,13.5,34.8,District 1,Los Angeles - El Sereno,SPA 4 - Metro,7888,3937450.05273438,9476.65646399222
06037201601,427,1109,2310,18.5,48,District 1,Los Angeles - El Sereno,SPA 4 - Metro,7889,5989464.78027344,10928.0419707895
06037201602,275,734,2753,10,26.7,District 1,Los Angeles - El Sereno,SPA 4 - Metro,7890,11481095.9111328,18567.4044831868
06037201700,451,1338,4167,10.8,32.1,District 1,Los Angeles - University Hills,SPA 4 - Metro,7891,18289606.4267578,20636.5668319082
06037203100,812,2148,4231,19.2,50.8,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,7892,7129819.72167969,11829.9124037391
06037203200,1387,2935,4973,27.9,59,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,7893,5493896.24511719,10209.5503314961
06037203300,550,878,1496,36.8,58.7,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,7894,15937496.7441406,15581.4837631725
06037203500,734,1354,2819,26,48,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,7895,17896885.2753906,18825.8227527016
06037203601,706,1342,2613,27,51.4,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,7896,3595069.3203125,12438.1415285991
06037203602,480,866,1964,24.4,44.1,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,7897,2435445.70605469,6781.75309721197
06037203710,747,1389,3435,21.7,40.4,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,7898,3036028.59277344,7623.77931285586
06037203720,877,1594,3556,24.7,44.8,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,7899,3456064.82128906,7965.718684375
06037203800,1033,2599,4817,21.4,54,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,7900,5236904.25683594,9426.91300122421
06037203900,551,1135,2712,20.3,41.9,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,7901,4820099.33398438,12064.0443147402
06037204110,861,1690,2863,30.1,59,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,7902,6496519.90332031,10204.5960857858
06037204120,181,878,2480,7.3,35.4,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,7903,2822350.296875,6970.22870586748
06037204200,1025,2049,3284,31.2,62.4,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,7904,3242329.5078125,7623.72918950464
06037204300,1107,2395,4780,23.2,50.1,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,7905,6926376.47460938,10887.9795830407
06037204410,658,1143,2467,26.7,46.3,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,7906,3196327.39648438,7592.69194033282
06037204420,995,2033,3091,32.2,65.8,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,7907,3252575.08203125,7655.41242688079
06037204600,792,2114,3908,20.3,54.1,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,7908,6201551.64453125,12222.8879585779
06037204700,1047,2221,4472,23.4,49.7,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,7909,10907423.2275391,13331.4615318917
06037204810,839,2538,4932,17,51.5,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,7910,8327932.84472656,11953.6200018943
06037204820,276,1021,2066,13.4,49.4,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,7911,3446622.07226563,8345.42760666225
06037204910,874,1680,3356,26,50.1,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,7912,5538623.95019531,9616.40758987868
06037204920,371,1149,2457,15.1,46.8,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,7913,9771951.94824219,12570.5753517187
06037205110,894,2238,3690,24.2,60.7,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,7914,2956008.29492188,9068.86721480581
06037205120,1227,2430,3409,36,71.3,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,7915,15952710.9550781,19218.2535781048
06037206010,893,1775,3490,25.6,50.9,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,7916,15714297.7333984,20599.4311936176
06037206020,57,71,440,13,16.1,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,7917,9395603.39453125,11938.5563604868
06037206050,407,1157,2171,18.7,53.3,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,7918,19183090.3300781,25485.7001959989
06037206051,68,245,1535,4.4,16,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,7919,40408764.9375,29476.2619635531
06037206052,408,714,3153,12.9,22.6,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,7920,9776925.70410156,13446.5947663505
06037206053,784,1553,2853,27.5,54.4,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,7921,6331758.78808594,10803.1303358809
06037206054,1002,1342,2452,40.9,54.7,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,7922,4502153.55761719,9300.3405140105
06037206201,502,906,2127,23.6,42.6,District 1,Los Angeles - Little Tokyo,SPA 4 - Metro,7923,2156821.98339844,6937.90177092318
06037206202,721,1167,1708,42.2,68.3,District 1,Los Angeles - Little Tokyo,SPA 4 - Metro,7924,4114009.18945313,9646.07427560358
06037206301,1473,1891,1991,74,95,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,7925,1467235.078125,4941.8720973375
06037206302,1285,1683,1904,67.5,88.4,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,7926,483653.2421875,3603.26368751729
06037206303,1781,2140,2397,74.3,89.3,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,7927,4692073.15820313,10612.5285557102
06037207101,1017,1731,3852,26.4,44.9,District 1,Los Angeles - Chinatown,SPA 4 - Metro,7928,3165333.10644531,7693.96237233894
06037207102,784,1704,3340,23.5,51,District 1,Los Angeles - Chinatown,SPA 4 - Metro,7929,4502100.25488281,9892.5786974003
06037207103,542,971,2097,25.8,46.3,District 1,Los Angeles - Chinatown,SPA 4 - Metro,7930,3388155.93554688,9522.76357319293
06037207303,543,1047,2359,23,44.4,District 1,Los Angeles - Downtown,SPA 4 - Metro,7931,1888040.55078125,5575.25906863467
06037207304,1033,1252,2358,43.8,53.1,District 1,Los Angeles - Downtown,SPA 4 - Metro,7932,541446.252929688,3459.97686349696
06037207305,96,191,959,10,19.9,District 1,Los Angeles - Downtown,SPA 4 - Metro,7933,2182714.78027344,8262.43863986772
06037207306,448,756,2166,20.7,34.9,District 1,Los Angeles - Downtown,SPA 4 - Metro,7934,1736073.65625,5646.00082215506
06037207307,630,767,1406,44.8,54.6,District 1,Los Angeles - Downtown,SPA 4 - Metro,7935,527160.046875,2910.61669087878
06037207308,112,289,1229,9.1,23.5,District 1,Los Angeles - Downtown,SPA 4 - Metro,7936,492573.751953125,2815.25744293792
